time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-19 00:00:00+00:00,0,0,66,6
2022-02-20 00:00:00+00:00,0,0,320,50
2022-02-21 00:00:00+00:00,1,1,108,37
2022-02-22 00:00:00+00:00,0,0,142,36
2022-02-23 00:00:00+00:00,2,2,100,25
2022-02-24 00:00:00+00:00,0,0,133,31
2022-02-25 00:00:00+00:00,0,0,53,29
2022-02-26 00:00:00+00:00,0,0,116,41
2022-02-27 00:00:00+00:00,1,1,77,30
2022-02-28 00:00:00+00:00,0,0,78,36
2022-03-01 00:00:00+00:00,0,0,55,23
2022-03-02 00:00:00+00:00,1,1,140,32
2022-03-03 00:00:00+00:00,0,0,115,33
2022-03-04 00:00:00+00:00,6,4,334,70
2022-03-05 00:00:00+00:00,3,2,338,59
2022-03-06 00:00:00+00:00,3,3,169,60
2022-03-07 00:00:00+00:00,0,0,133,38
2022-03-08 00:00:00+00:00,1,1,66,31
2022-03-09 00:00:00+00:00,0,0,110,38
2022-03-10 00:00:00+00:00,0,0,51,27
2022-03-11 00:00:00+00:00,2,1,114,29
2022-03-12 00:00:00+00:00,0,0,80,37
2022-03-13 00:00:00+00:00,1,1,130,45
2022-03-14 00:00:00+00:00,0,0,66,25
2022-03-15 00:00:00+00:00,0,0,71,27
2022-03-16 00:00:00+00:00,2,2,92,27
2022-03-17 00:00:00+00:00,0,0,72,25
2022-03-18 00:00:00+00:00,1,1,145,30
2022-03-19 00:00:00+00:00,69,9,250,53
2022-03-20 00:00:00+00:00,6,5,171,57
2022-03-21 00:00:00+00:00,0,0,52,25
2022-03-22 00:00:00+00:00,64,8,147,28
2022-03-23 00:00:00+00:00,6,4,125,39
2022-03-24 00:00:00+00:00,1,1,107,33
2022-03-25 00:00:00+00:00,1,1,108,36
2022-03-26 00:00:00+00:00,1,1,157,43
2022-03-27 00:00:00+00:00,1,1,101,33
2022-03-28 00:00:00+00:00,0,0,24,14
2022-03-29 00:00:00+00:00,0,0,76,22
2022-03-30 00:00:00+00:00,0,0,48,18
2022-03-31 00:00:00+00:00,0,0,44,20
2022-04-01 00:00:00+00:00,0,0,98,18
2022-04-02 00:00:00+00:00,0,0,66,22
2022-04-03 00:00:00+00:00,1,1,117,31
2022-04-04 00:00:00+00:00,0,0,106,23
2022-04-05 00:00:00+00:00,2,2,54,17
2022-04-06 00:00:00+00:00,1,1,40,16
2022-04-07 00:00:00+00:00,1,1,49,16
2022-04-08 00:00:00+00:00,2,1,71,21
2022-04-09 00:00:00+00:00,0,0,118,20
2022-04-10 00:00:00+00:00,3,1,75,18
2022-04-11 00:00:00+00:00,0,0,45,9
2022-04-12 00:00:00+00:00,0,0,68,14
2022-04-13 00:00:00+00:00,1,1,85,22
2022-04-14 00:00:00+00:00,1,1,76,16
2022-04-15 00:00:00+00:00,3,2,121,49
2022-04-16 00:00:00+00:00,1,1,103,44
2022-04-17 00:00:00+00:00,0,0,84,29
2022-04-18 00:00:00+00:00,1,1,103,27
2022-04-19 00:00:00+00:00,1,1,52,15
2022-04-20 00:00:00+00:00,0,0,51,19
2022-04-21 00:00:00+00:00,0,0,34,13
2022-04-22 00:00:00+00:00,3,2,130,15
2022-04-23 00:00:00+00:00,0,0,41,20
2022-04-24 00:00:00+00:00,2,1,43,25
2022-04-25 00:00:00+00:00,1,1,24,12
2022-04-26 00:00:00+00:00,0,0,31,15
2022-04-27 00:00:00+00:00,0,0,30,11
2022-04-28 00:00:00+00:00,0,0,45,17
2022-04-29 00:00:00+00:00,2,1,27,12
2022-04-30 00:00:00+00:00,0,0,74,25
2022-05-01 00:00:00+00:00,0,0,34,12
2022-05-02 00:00:00+00:00,0,0,29,13
2022-05-03 00:00:00+00:00,0,0,64,16
2022-05-04 00:00:00+00:00,1,1,102,20
2022-05-05 00:00:00+00:00,0,0,49,13
2022-05-06 00:00:00+00:00,1,1,51,17
2022-05-07 00:00:00+00:00,0,0,65,17
2022-05-08 00:00:00+00:00,0,0,44,20
2022-05-09 00:00:00+00:00,0,0,23,13
2022-05-10 00:00:00+00:00,0,0,23,9
2022-05-11 00:00:00+00:00,0,0,25,12
2022-05-12 00:00:00+00:00,0,0,16,12
2022-05-13 00:00:00+00:00,1,1,28,12
2022-05-14 00:00:00+00:00,0,0,16,8
2022-05-15 00:00:00+00:00,2,2,91,15
2022-05-16 00:00:00+00:00,124,1,10,7
2022-05-17 00:00:00+00:00,0,0,32,9
2022-05-18 00:00:00+00:00,0,0,23,12
2022-05-19 00:00:00+00:00,0,0,21,10
2022-05-20 00:00:00+00:00,0,0,76,12
2022-05-21 00:00:00+00:00,0,0,50,14
2022-05-22 00:00:00+00:00,0,0,21,14
2022-05-23 00:00:00+00:00,1,1,40,10
2022-05-24 00:00:00+00:00,0,0,5,4
2022-05-25 00:00:00+00:00,0,0,6,6
2022-05-26 00:00:00+00:00,0,0,7,5
2022-05-27 00:00:00+00:00,0,0,47,14
2022-05-28 00:00:00+00:00,0,0,27,8
2022-05-29 00:00:00+00:00,0,0,10,6
2022-05-30 00:00:00+00:00,0,0,14,9
2022-05-31 00:00:00+00:00,0,0,42,10
2022-06-01 00:00:00+00:00,0,0,13,5
2022-06-02 00:00:00+00:00,0,0,10,5
2022-06-03 00:00:00+00:00,0,0,5,5
2022-06-04 00:00:00+00:00,0,0,36,8
2022-06-05 00:00:00+00:00,0,0,20,7
2022-06-06 00:00:00+00:00,0,0,104,8
2022-06-07 00:00:00+00:00,0,0,40,8
2022-06-08 00:00:00+00:00,0,0,22,10
2022-06-09 00:00:00+00:00,1,1,6,5
2022-06-10 00:00:00+00:00,0,0,43,8
2022-06-11 00:00:00+00:00,1,1,34,7
2022-06-12 00:00:00+00:00,0,0,18,9
2022-06-13 00:00:00+00:00,2,2,14,6
2022-06-14 00:00:00+00:00,0,0,5,4
2022-06-15 00:00:00+00:00,2,2,21,7
2022-06-16 00:00:00+00:00,0,0,24,8
2022-06-17 00:00:00+00:00,0,0,17,8
2022-06-18 00:00:00+00:00,0,0,10,5
2022-06-19 00:00:00+00:00,0,0,10,5
2022-06-20 00:00:00+00:00,0,0,15,8
2022-06-21 00:00:00+00:00,0,0,24,9
2022-06-22 00:00:00+00:00,0,0,8,6
2022-06-23 00:00:00+00:00,2,1,5,2
2022-06-24 00:00:00+00:00,2,1,17,5
2022-06-25 00:00:00+00:00,0,0,15,6
2022-06-26 00:00:00+00:00,0,0,13,8
2022-06-27 00:00:00+00:00,0,0,22,9
2022-06-28 00:00:00+00:00,0,0,19,5
2022-06-29 00:00:00+00:00,1,1,33,5
2022-06-30 00:00:00+00:00,2,1,9,4
2022-07-01 00:00:00+00:00,0,0,7,6
2022-07-02 00:00:00+00:00,0,0,8,4
2022-07-03 00:00:00+00:00,0,0,4,2
2022-07-04 00:00:00+00:00,0,0,21,7
2022-07-05 00:00:00+00:00,0,0,30,7
2022-07-06 00:00:00+00:00,0,0,16,9
2022-07-07 00:00:00+00:00,0,0,20,7
2022-07-08 00:00:00+00:00,1,1,36,8
2022-07-09 00:00:00+00:00,0,0,27,10
2022-07-10 00:00:00+00:00,0,0,18,9
2022-07-11 00:00:00+00:00,0,0,10,5
2022-07-12 00:00:00+00:00,0,0,7,4
2022-07-13 00:00:00+00:00,0,0,22,7
2022-07-14 00:00:00+00:00,0,0,38,10
2022-07-15 00:00:00+00:00,0,0,22,7
2022-07-16 00:00:00+00:00,0,0,30,4
2022-07-17 00:00:00+00:00,0,0,39,8
2022-07-18 00:00:00+00:00,1,1,35,5
2022-07-19 00:00:00+00:00,0,0,74,9
2022-07-20 00:00:00+00:00,0,0,36,5
2022-07-21 00:00:00+00:00,0,0,17,6
2022-07-22 00:00:00+00:00,0,0,7,2
2022-07-23 00:00:00+00:00,0,0,5,3
2022-07-24 00:00:00+00:00,0,0,16,7
2022-07-25 00:00:00+00:00,0,0,120,5
2022-07-26 00:00:00+00:00,0,0,18,7
2022-07-27 00:00:00+00:00,0,0,7,2
2022-07-28 00:00:00+00:00,0,0,34,7
2022-07-29 00:00:00+00:00,0,0,22,4
2022-07-30 00:00:00+00:00,0,0,8,4
2022-07-31 00:00:00+00:00,1,1,6,5
2022-08-01 00:00:00+00:00,1,1,3,3
2022-08-02 00:00:00+00:00,2,1,9,4
2022-08-03 00:00:00+00:00,0,0,8,4
2022-08-04 00:00:00+00:00,1,1,7,3
2022-08-05 00:00:00+00:00,0,0,33,6
2022-08-06 00:00:00+00:00,0,0,18,3
2022-08-07 00:00:00+00:00,0,0,6,4
2022-08-08 00:00:00+00:00,0,0,5,2
2022-08-09 00:00:00+00:00,1,1,7,7
2022-08-10 00:00:00+00:00,0,0,21,9
2022-08-11 00:00:00+00:00,0,0,50,7
2022-08-12 00:00:00+00:00,1,1,18,6
2022-08-13 00:00:00+00:00,0,0,21,6
2022-08-14 00:00:00+00:00,0,0,1,1
2022-08-15 00:00:00+00:00,0,0,8,5
2022-08-16 00:00:00+00:00,0,0,42,3
2022-08-17 00:00:00+00:00,0,0,9,6
2022-08-18 00:00:00+00:00,0,0,15,6
2022-08-19 00:00:00+00:00,0,0,12,4
2022-08-20 00:00:00+00:00,0,0,12,5
2022-08-21 00:00:00+00:00,0,0,15,6
2022-08-23 00:00:00+00:00,0,0,18,8
2022-08-24 00:00:00+00:00,0,0,14,7
2022-08-25 00:00:00+00:00,0,0,23,5
2022-08-26 00:00:00+00:00,0,0,12,5
2022-08-27 00:00:00+00:00,0,0,14,7
2022-08-28 00:00:00+00:00,0,0,8,4
2022-08-29 00:00:00+00:00,0,0,34,4
2022-08-30 00:00:00+00:00,0,0,38,8
2022-08-31 00:00:00+00:00,0,0,9,5
2022-09-01 00:00:00+00:00,1,1,3,2
2022-09-02 00:00:00+00:00,0,0,22,8
2022-09-03 00:00:00+00:00,0,0,5,4
2022-09-04 00:00:00+00:00,0,0,13,8
2022-09-05 00:00:00+00:00,0,0,7,6
2022-09-06 00:00:00+00:00,0,0,9,4
2022-09-07 00:00:00+00:00,0,0,2,1
2022-09-08 00:00:00+00:00,0,0,1,1
2022-09-09 00:00:00+00:00,0,0,10,4
2022-09-10 00:00:00+00:00,0,0,10,4
2022-09-11 00:00:00+00:00,0,0,5,4
2022-09-12 00:00:00+00:00,0,0,8,2
